locationName,centerType,address1,address2,city,state,zip,phoneNumber,phoneExtension,websiteUrl,latitude,longitude
Spencer Cancer Center,hospital-based,2501 Village Professional Dr,,Opelika,AL,36801,,,https://www.eastalabamahealth.org/find-a-service/cancer-care/,32.644711,-85.41314
Carmichael Imaging Center,hospital-based,4145 Carmichael Road,,Montgomery,AL,36106,334-387-1103,,https://www.baptistfirst.org/locations/diagnostics/carmichael-imaging-center,32.358607,-86.237762
Jackson Imaging Center,hospital-based,1825 Park Pl,,Montgomery,AL,36106,334 834-3671,,https://www.jacksonimagingcenter.com/,32.369118,-86.283818
DCH Regional Medical Center,stand-alone imaging center,809 University Blvd E,,Tuscaloosa,AL,35401,205 759-7111,,https://www.dchsystem.com/,33.205167,-87.526571
The Radiology Clinic,stand-alone imaging center,208 McFarland Cir,,Tuscaloosa,AL,35406,205-345-2563,,https://www.tuscaloosaradiology.com/,33.234244,-87.536727
Birmingham VA Medical Center,hospital-based,700 19th St S,,Birmingham,AL,35233,205 933-8101,,https://www.va.gov/birmingham-health-care/,33.504121,-86.801555
ASCENSION ST. VINCENT'S BIRMINGHAM,hospital-based,2728 10TH AVE SOUTH,Suite 300,Birmingham,AL,35205,205-930-2670,,https://healthcare.ascension.org/locations/alabama/albir/birmingham-ascension-st-vincents-birmingham-bruno-cancer-center?utm_campaign=gmb-website&utm_,33.50833,-86.786759
Ascension St. Vincent’s East,hospital-based,50 Medical Park Dr,E,Birmingham,AL,35235,,,https://healthcare.ascension.org/locations/alabama/albir/birmingham-ascension-st-vincents-east?utm_campaign=gmb&utm_medium=organic&utm_source=local,33.596457,-86.66765
OMI of Gadsden,stand-alone imaging center,1026 Goodyear Ave,#50,Gadsden,AL,35903,,,,34.009415,-85.965338
Decatur Health Imaging LLC,hospital-based,1123 16th Ave SE,,Decatur,AL,35601,256-350-6364,,https://decaturpetct.com/?utm_Source=gmblisting&utm_medium=Organic,34.589572,-86.967845
North Alabama Medical Center,hospital-based,2111 Cloyd Boulevard,,Florence,AL,35630,256-768-8125,,https://namccares.com/,34.836891,-87.648363
University of South Alabama Health,hospital-based,1660 Spring Hill Ave,,Mobile,AL,36604,251-445-8446,,,30.695266,-88.079138
Thomas Medical Center,hospital-based,27961 US-98,,Daphne,AL,36526,,,https://www.infirmaryhealth.org,30.631931,-87.914652
Infirmary Health,hospital-based,3290 Dauphin St,,Mobile,AL,36606,,,https://www.infirmaryhealth.org/,30.689976,-88.124606
Mobile Molecular Imaging,stand-alone imaging center,100 Memorial Hospital Dr.,Suite 1 E,Mobile,AL,36608,251-316-3868,,https://www.mobilemolecular.com/,30.68417,-88.131699
Ascension Providence Cancer Center,hospital-based,6701 Airport Blvd,,Mobile,AL,36608,248 849-3000,,,30.678574,-88.197609
